locality,property_type,subtype,price,type_of_sale,nb_rooms,living_area,kitchen_equipped,furnished,open_fire,terrace,terrace_area,garden,garden_area,url
Schaarbeek,Apartment,,1300,rent,2,88,1,1,0,1,6,0,0,https://immovlan.be/en/detail/apartment/for-rent/1030/schaarbeek/vbd89637
Cerfontaine,Residence,,750,rent,2,64,0,0,0,0,0,1,,https://immovlan.be/en/detail/residence/for-rent/5630/cerfontaine/vbd89575
Trivières,Residence,,880,rent,3,0,0,0,0,0,0,0,0,https://immovlan.be/en/detail/residence/for-rent/7100/trivieres/vbd88783
Sélange,Residence,,,rent,3,185,0,0,0,1,,1,,https://immovlan.be/en/detail/residence/for-rent/6781/selange/vbd89509
Mechelen,Apartment,,945,rent,1,70,0,0,0,1,,1,,https://immovlan.be/en/detail/apartment/for-rent/2800/mechelen/rbv31461
Aalter,Apartment,,1150,rent,2,125,0,0,0,1,10,0,0,https://immovlan.be/en/detail/apartment/for-rent/9880/aalter/rbv29599
Aalst,Apartment,,1100,rent,3,0,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/9300/aalst/rbv31049
Tervuren,Residence,,2250,rent,3,221,0,0,1,1,20,1,,https://immovlan.be/en/detail/residence/for-rent/3080/tervuren/rbv31850
Stekene,Residence,,1100,rent,5,0,0,0,0,1,,1,,https://immovlan.be/en/detail/residence/for-rent/9190/stekene/rbv30444
Elsene,Apartment,,2200,rent,2,120,0,0,0,1,7,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd88947
Elsene,Apartment,,2000,rent,2,110,0,0,0,1,4,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/rbv29679
Avelgem,Residence,,950,rent,3,200,0,0,0,1,,1,,https://immovlan.be/en/detail/residence/for-rent/8580/avelgem/rbv31593
Montignies-sur-Sambre,Apartment,,475,rent,1,167,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/6061/montignies-sur-sambre/vbd88727
Fontaine-l'Évêque,Apartment,,825,rent,2,104,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/6140/fontaine-l-eveque/vbd89646
Aalst,Apartment,,850,rent,2,112,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/9300/aalst/rbv31050
Andenne,Apartment,,900,rent,2,81,0,0,0,1,14,1,,https://immovlan.be/en/detail/apartment/for-rent/5300/andenne/vbd88585
Grivegnée,Duplex,,950,rent,2,0,1,1,0,1,,0,0,https://immovlan.be/en/detail/duplex/for-rent/4030/grivegnee/vbd88436
Carnières,Villa,,1750,rent,5,235,0,0,0,1,30,1,,https://immovlan.be/en/detail/villa/for-rent/7141/carnieres/vbd87119
Louvain-la-Neuve,Apartment,,850,rent,1,50,0,0,0,1,5,1,5,https://immovlan.be/en/detail/apartment/for-rent/1348/louvain-la-neuve/vbd88065
Wavre,Residence,,1900,rent,4,110,0,0,0,1,,1,600,https://immovlan.be/en/detail/residence/for-rent/1300/wavre/vbd88108
Thuin,Apartment,,675,rent,1,0,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/6530/thuin/vbd87636
