locality,property_type,subtype,price,type_of_sale,nb_rooms,living_area,kitchen_equipped,furnished,open_fire,terrace,terrace_area,garden,garden_area,url
Sélange,Residence,,,rent,3,185,0,0,0,1,,1,,https://immovlan.be/en/detail/residence/for-rent/6781/selange/vbd89509
Tervuren,Residence,,2250,rent,3,221,0,0,1,1,20,1,,https://immovlan.be/en/detail/residence/for-rent/3080/tervuren/rbv31850
Marcinelle,Apartment,,650,rent,1,37,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/6001/marcinelle/vbd89631
Cerfontaine,Residence,,750,rent,2,64,0,0,0,0,0,1,,https://immovlan.be/en/detail/residence/for-rent/5630/cerfontaine/vbd89575
Avelgem,Residence,,950,rent,3,200,0,0,0,1,,1,,https://immovlan.be/en/detail/residence/for-rent/8580/avelgem/rbv31593
Andenne,Apartment,,900,rent,2,81,0,0,0,1,14,1,,https://immovlan.be/en/detail/apartment/for-rent/5300/andenne/vbd88585
Aalter,Apartment,,1150,rent,2,125,0,0,0,1,10,0,0,https://immovlan.be/en/detail/apartment/for-rent/9880/aalter/rbv29599
Elsene,Apartment,,2000,rent,2,110,0,0,0,1,4,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/rbv29679
Sint-Gillis,Apartment,,1750,rent,2,100,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1060/sint-gillis/rbv31374
Trivières,Residence,,880,rent,3,0,0,0,0,0,0,0,0,https://immovlan.be/en/detail/residence/for-rent/7100/trivieres/vbd88783
Montignies-sur-Sambre,Apartment,,475,rent,1,167,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/6061/montignies-sur-sambre/vbd88727
Elsene,Apartment,,2200,rent,2,120,0,0,0,1,7,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd88947
Fontaine-l'Évêque,Apartment,,825,rent,2,104,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/6140/fontaine-l-eveque/vbd89646
Stekene,Residence,,1100,rent,5,0,0,0,0,1,,1,,https://immovlan.be/en/detail/residence/for-rent/9190/stekene/rbv30444
Antwerp,Apartment,,1100,rent,2,80,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/2060/antwerp/rbv31462
Schaarbeek,Apartment,,1300,rent,2,88,1,1,0,1,6,0,0,https://immovlan.be/en/detail/apartment/for-rent/1030/schaarbeek/vbd89637
Overijse,Apartment,,1200,rent,2,155,0,0,0,1,37,0,0,https://immovlan.be/en/detail/apartment/for-rent/3090/overijse/vbd88287
Grivegnée,Duplex,,950,rent,2,0,1,1,0,1,,0,0,https://immovlan.be/en/detail/duplex/for-rent/4030/grivegnee/vbd88436
